id,PRODUCT_ID,STORE_ID,WEEK_NO,display,mailer
1,26190,286,70,0,A
2,26190,288,70,0,A
3,26190,289,70,0,A
4,26190,292,70,0,A
5,26190,293,70,0,A
6,26190,295,70,0,A
7,26190,296,70,0,A
8,26190,297,70,0,A
9,26190,298,70,0,A
10,26190,299,70,0,A
11,26190,300,70,0,A
12,26190,304,70,5,A
13,26190,306,70,0,A
14,26190,309,70,5,A
15,26190,310,70,0,A
16,26190,311,70,0,A
17,26190,313,70,0,A
18,26190,315,70,0,A
19,26190,316,70,0,A
20,26190,317,70,0,A
21,26190,318,70,0,A
22,26190,319,70,5,A
23,26190,320,70,0,A
24,26190,321,70,0,A
25,26190,322,70,0,A
26,26190,323,70,5,A
27,26190,324,70,0,A
28,26190,327,70,0,A
29,26190,329,70,0,A
30,26190,330,70,0,A
31,26190,333,70,0,A
32,26190,334,70,5,A
33,26190,335,52,1,0
34,26190,335,70,0,A
35,26190,337,70,0,A
36,26190,338,70,5,A
37,26190,338,71,5,0
38,26190,339,70,0,A
39,26190,340,70,0,A
40,26190,341,70,1,A
41,26190,341,71,1,0
42,26190,341,73,4,0
43,26190,343,70,0,A
44,26190,345,70,0,A
45,26190,346,70,0,A
46,26190,352,70,0,A
47,26190,354,70,0,A
48,26190,355,70,0,A
49,26190,356,70,0,A
50,26190,358,70,0,A
51,26190,359,70,0,A
52,26190,360,70,0,A
53,26190,361,70,0,A
54,26190,362,70,0,A
55,26190,363,70,0,A
56,26190,364,70,0,A
57,26190,365,70,5,A
58,26190,365,71,5,0
59,26190,367,70,0,A
60,26190,368,70,0,A
61,26190,369,70,0,A
62,26190,369,71,4,0
63,26190,369,72,4,0
64,26190,370,70,0,A
65,26190,372,70,0,A
66,26190,375,70,0,A
67,26190,379,70,0,A
68,26190,380,70,0,A
69,26190,381,70,0,A
70,26190,382,70,3,A
71,26190,382,71,3,0
72,26190,384,70,0,A
73,26190,388,70,0,A
74,26190,389,70,0,A
75,26190,391,70,0,A
